FID,REPORTDATE,BLOCKADD,OFFENSE
0,2017-10-05 00:00:00,5300 Block Arapahoe Ave,Auto Theft
1,2017-08-11 00:00:00,4900 Block Spine Rd,Robbery
2,2017-08-11 00:00:00,1100 Block Pennsylvania Ave,Trespassing
3,2017-10-06 00:00:00,200 Block Arapahoe Ave,Trespassing
4,2017-10-06 00:00:00,1000 Block 12th St,Trespassing
5,2017-10-06 00:00:00,1200 Block 13th St,Trespassing
6,2017-08-12 00:00:00,2000 Block Walnut St,Vandalism
7,2017-08-12 00:00:00,800 Block S Terrace Cir,Burglary
8,2017-10-06 00:00:00,700 Block Arapahoe Ave,Trespassing
9,2017-08-12 00:00:00,800 Block 29th St,Motorcycle Theft
10,2017-08-12 00:00:00,1500 Block Folsom St,Burglary
11,2017-08-12 00:00:00,1900 Block Arapahoe Ave,Vandalism
12,2017-08-12 00:00:00,26th St & Walnut St,Assault
13,2017-08-12 00:00:00,2000 Block Arapahoe Ave,Trespassing
14,2017-08-12 00:00:00,2800 Block E College Ave,Vandalism
15,2017-08-12 00:00:00,400 Block S 45th St,Incident
16,2017-10-07 00:00:00,14th St & Spruce St,Trespassing
17,2017-10-07 00:00:00,1700 Block 16th St,Trespassing
18,2017-08-13 00:00:00,400 Block S 45th St,Robbery
19,2017-08-13 00:00:00,5400 Block North Fork Ct,Vandalism
20,2017-08-13 00:00:00,1400 Block Canyon Bv,Incident
21,2017-08-13 00:00:00,6600 Block Drew Ranch Ln,Burglary
22,2017-09-03 00:00:00,Broadway & Rosewood Ave,Trespassing
23,2017-10-11 00:00:00,800 Block Broadway,Vandalism
24,2017-10-11 00:00:00,1100 Block Pleasant St,Vandalism
25,2017-10-11 00:00:00,1100 Block Pleasant St,Burglary
26,2017-10-12 00:00:00,3300 Block Moorhead Ave,Vandalism
27,2017-10-12 00:00:00,100 Block S 42nd St,Vandalism
28,2017-10-12 00:00:00,1800 Block Commerce St,Vandalism
29,2017-10-12 00:00:00,900 Block Broadway,Burglary
30,2017-10-12 00:00:00,3000 Block 10th St,Auto Theft
31,2017-10-12 00:00:00,900 Block Alpine Ave,Burglary
32,2017-10-12 00:00:00,1900 Block 11th St,Sex Assault
33,2017-10-13 00:00:00,4500 Block 19th St,Vandalism
34,2017-10-13 00:00:00,3100 Block 28th St,Incident
35,2017-10-13 00:00:00,1200 Block Kalmia Ave,Trespassing
36,2017-10-13 00:00:00,2900 Block Baseline Rd,Motorcycle Theft
37,2017-10-08 00:00:00,10th St & Euclid Ave,Motorcycle Theft
38,2017-10-13 00:00:00,3000 Block E Euclid Ave,Incident
39,2017-10-13 00:00:00,1000 Block 14th St,Trespassing
40,2017-10-14 00:00:00,900 Block Broadway,Trespassing
41,2017-10-14 00:00:00,3000 Block Madison Ave,Incident
42,2017-10-14 00:00:00,2900 Block E Aurora Ave,Vandalism
43,2017-10-12 00:00:00,2900 Block Bixby Ave,Incident
44,2017-10-13 00:00:00,1100 Block Pennsylvania Ave,Vandalism
45,2017-08-07 00:00:00,4700 Block Arapahoe Ave,Vandalism
46,2017-07-30 00:00:00,1000 Block University Ave,Theft From Vehicle
47,2017-08-08 00:00:00,1200 Block 17th St,Burglary
48,2017-07-31 00:00:00,00 Block Broadway,Theft Of Car Parts
49,2017-08-11 00:00:00,1200 Block High St,Vandalism
50,2017-12-06 00:00:00,1400 Block Spruce St,Burglary
51,2017-12-06 00:00:00,4500 Block Baseline Rd,Burglary
52,2017-12-07 00:00:00,1800 Block Spruce St,Vandalism
53,2017-11-19 00:00:00,4900 Block Moorhead Ave,Auto Theft
54,2017-10-27 00:00:00,2900 Block E Aurora Ave,Vandalism
55,2017-10-27 00:00:00,20th St & Spruce St,Theft Of Car Parts
56,2017-11-30 00:00:00,500 Block Thunderbird Ct E,Theft From Vehicle
57,2017-11-09 00:00:00,1700 Block Deer Valley Rd,Theft From Vehicle
58,2017-12-07 00:00:00,2800 Block Iris Ave,Trespassing
59,2017-12-07 00:00:00,800 Block Broadway,Trespassing
60,2017-11-17 00:00:00,200 Block Iroquois Dr,Vandalism
61,2017-10-29 00:00:00,3100 Block Broadway,Theft From Vehicle
62,2017-10-31 00:00:00,900 Block Walnut St,Vandalism
63,2017-11-01 00:00:00,800 Block 16th St,Vandalism
64,2017-09-20 00:00:00,2200 Block Junction Pl,Recovery
65,2017-11-06 00:00:00,2000 Block 21st St,Burglary
66,2017-10-25 00:00:00,4900 Block Baseline Rd,Vandalism
67,2017-09-14 00:00:00,3200 Block Arapahoe Ave,Assault
68,2017-12-20 00:00:00,1000 Block University Ave,Burglary
69,2017-12-20 00:00:00,Crime occurred at an unknown location,Incident
70,2017-12-05 00:00:00,5500 Block Jewel Creek Ct,Theft From Vehicle
